,Name,Team,Position,Height,College,Number,Age,Weight,Salary
0,Avery Bradley,Boston Celtics,PG,6-2,Texas,0.0,25.0,180.0,7730337.0
1,Jae Crowder,Boston Celtics,SF,6-6,Marquette,99.0,25.0,235.0,6796117.0
2,John Holland,Boston Celtics,SG,6-5,Boston University,30.0,27.0,205.0,0.0
3,R.J. Hunter,Boston Celtics,SG,6-5,Georgia State,28.0,22.0,185.0,1148640.0
4,Jonas Jerebko,Boston Celtics,PF,6-10,N/A,8.0,29.0,231.0,5000000.0
5,Amir Johnson,Boston Celtics,PF,6-9,N/A,90.0,29.0,240.0,12000000.0
6,Jordan Mickey,Boston Celtics,PF,6-8,LSU,55.0,21.0,235.0,1170960.0
7,Kelly Olynyk,Boston Celtics,C,7-0,Gonzaga,41.0,25.0,238.0,2165160.0
8,Terry Rozier,Boston Celtics,PG,6-2,Louisville,12.0,22.0,190.0,1824360.0
9,Marcus Smart,Boston Celtics,PG,6-4,Oklahoma State,36.0,22.0,220.0,3431040.0
10,Jared Sullinger,Boston Celtics,C,6-9,Ohio State,7.0,24.0,260.0,2569260.0
11,Isaiah Thomas,Boston Celtics,PG,5-9,Washington,4.0,27.0,185.0,6912869.0
12,Evan Turner,Boston Celtics,SG,6-7,Ohio State,11.0,27.0,220.0,3425510.0
13,James Young,Boston Celtics,SG,6-6,Kentucky,13.0,20.0,215.0,1749840.0
14,Tyler Zeller,Boston Celtics,C,7-0,North Carolina,44.0,26.0,253.0,2616975.0
15,Bojan Bogdanovic,Brooklyn Nets,SG,6-8,N/A,44.0,27.0,216.0,3425510.0
16,Markel Brown,Brooklyn Nets,SG,6-3,Oklahoma State,22.0,24.0,190.0,845059.0
17,Wayne Ellington,Brooklyn Nets,SG,6-4,North Carolina,21.0,28.0,200.0,1500000.0
18,Rondae Hollis-Jefferson,Brooklyn Nets,SG,6-7,Arizona,24.0,21.0,220.0,1335480.0
19,Jarrett Jack,Brooklyn Nets,PG,6-3,Georgia Tech,2.0,32.0,200.0,6300000.0
20,Sergey Karasev,Brooklyn Nets,SG,6-7,N/A,10.0,22.0,208.0,1599840.0
21,Sean Kilpatrick,Brooklyn Nets,SG,6-4,Cincinnati,6.0,26.0,219.0,134215.0
22,Shane Larkin,Brooklyn Nets,PG,5-11,Miami (FL),0.0,23.0,175.0,1500000.0
23,Brook Lopez,Brooklyn Nets,C,7-0,Stanford,11.0,28.0,275.0,19689000.0
24,Chris McCullough,Brooklyn Nets,PF,6-11,Syracuse,1.0,21.0,200.0,1140240.0
25,Willie Reed,Brooklyn Nets,PF,6-10,Saint Louis,33.0,26.0,220.0,947276.0
26,Thomas Robinson,Brooklyn Nets,PF,6-10,Kansas,41.0,25.0,237.0,981348.0
27,Henry Sims,Brooklyn Nets,C,6-10,Georgetown,14.0,26.0,248.0,947276.0
28,Donald Sloan,Brooklyn Nets,PG,6-3,Texas A&M,15.0,28.0,205.0,947276.0
29,Thaddeus Young,Brooklyn Nets,PF,6-8,Georgia Tech,30.0,27.0,221.0,11235955.0
30,Arron Afflalo,New York Knicks,SG,6-5,UCLA,4.0,30.0,210.0,8000000.0
31,Lou Amundson,New York Knicks,PF,6-9,UNLV,17.0,33.0,220.0,1635476.0
32,Thanasis Antetokounmpo,New York Knicks,SF,6-7,N/A,43.0,23.0,205.0,30888.0
33,Carmelo Anthony,New York Knicks,SF,6-8,Syracuse,7.0,32.0,240.0,22875000.0
34,Jose Calderon,New York Knicks,PG,6-3,N/A,3.0,34.0,200.0,7402812.0
35,Cleanthony Early,New York Knicks,SF,6-8,Wichita State,11.0,25.0,210.0,845059.0
36,Langston Galloway,New York Knicks,SG,6-2,Saint Joseph's,2.0,24.0,200.0,845059.0
37,Jerian Grant,New York Knicks,PG,6-4,Notre Dame,13.0,23.0,195.0,1572360.0
38,Robin Lopez,New York Knicks,C,7-0,Stanford,8.0,28.0,255.0,12650000.0
39,Kyle O'Quinn,New York Knicks,PF,6-10,Norfolk State,9.0,26.0,250.0,3750000.0
40,Kristaps Porzingis,New York Knicks,PF,7-3,N/A,6.0,20.0,240.0,4131720.0
41,Kevin Seraphin,New York Knicks,C,6-10,N/A,1.0,26.0,278.0,2814000.0
42,Lance Thomas,New York Knicks,SF,6-8,Duke,42.0,28.0,235.0,1636842.0
43,Sasha Vujacic,New York Knicks,SG,6-7,N/A,18.0,32.0,195.0,947276.0
44,Derrick Williams,New York Knicks,PF,6-8,Arizona,23.0,25.0,240.0,4000000.0
45,Tony Wroten,New York Knicks,SG,6-6,Washington,5.0,23.0,205.0,167406.0
46,Elton Brand,Philadelphia 76ers,PF,6-9,Duke,42.0,37.0,254.0,0.0
47,Isaiah Canaan,Philadelphia 76ers,PG,6-0,Murray State,0.0,25.0,201.0,947276.0
48,Robert Covington,Philadelphia 76ers,SF,6-9,Tennessee State,33.0,25.0,215.0,1000000.0
49,Joel Embiid,Philadelphia 76ers,C,7-0,Kansas,21.0,22.0,250.0,4626960.0
50,Jerami Grant,Philadelphia 76ers,SF,6-8,Syracuse,39.0,22.0,210.0,845059.0
51,Richaun Holmes,Philadelphia 76ers,PF,6-10,Bowling Green,22.0,22.0,245.0,1074169.0
52,Carl Landry,Philadelphia 76ers,PF,6-9,Purdue,7.0,32.0,248.0,6500000.0
53,Kendall Marshall,Philadelphia 76ers,PG,6-4,North Carolina,5.0,24.0,200.0,2144772.0
54,T.J. McConnell,Philadelphia 76ers,PG,6-2,Arizona,12.0,24.0,200.0,525093.0
55,Nerlens Noel,Philadelphia 76ers,PF,6-11,Kentucky,4.0,22.0,228.0,3457800.0
56,Jahlil Okafor,Philadelphia 76ers,C,6-11,Duke,8.0,20.0,275.0,4582680.0
57,Ish Smith,Philadelphia 76ers,PG,6-0,Wake Forest,1.0,27.0,175.0,947276.0
58,Nik Stauskas,Philadelphia 76ers,SG,6-6,Michigan,11.0,22.0,205.0,2869440.0
59,Hollis Thompson,Philadelphia 76ers,SG,6-8,Georgetown,31.0,25.0,206.0,947276.0
60,Christian Wood,Philadelphia 76ers,PF,6-11,UNLV,35.0,20.0,220.0,525093.0
61,Bismack Biyombo,Toronto Raptors,C,6-9,N/A,8.0,23.0,245.0,2814000.0
62,Bruno Caboclo,Toronto Raptors,SF,6-9,N/A,20.0,20.0,205.0,1524000.0
63,DeMarre Carroll,Toronto Raptors,SF,6-8,Missouri,5.0,29.0,212.0,13600000.0
64,DeMar DeRozan,Toronto Raptors,SG,6-7,USC,10.0,26.0,220.0,10050000.0
65,James Johnson,Toronto Raptors,PF,6-9,Wake Forest,3.0,29.0,250.0,2500000.0
66,Cory Joseph,Toronto Raptors,PG,6-3,Texas,6.0,24.0,190.0,7000000.0
67,Kyle Lowry,Toronto Raptors,PG,6-0,Villanova,7.0,30.0,205.0,12000000.0
68,Lucas Nogueira,Toronto Raptors,C,7-0,N/A,92.0,23.0,220.0,1842000.0
69,Patrick Patterson,Toronto Raptors,PF,6-9,Kentucky,54.0,27.0,235.0,6268675.0
70,Norman Powell,Toronto Raptors,SG,6-4,UCLA,24.0,23.0,215.0,650000.0
71,Terrence Ross,Toronto Raptors,SF,6-7,Washington,31.0,25.0,195.0,3553917.0
72,Luis Scola,Toronto Raptors,PF,6-9,N/A,4.0,36.0,240.0,2900000.0
73,Jason Thompson,Toronto Raptors,PF,6-11,Rider,1.0,29.0,250.0,245177.0
74,Jonas Valanciunas,Toronto Raptors,C,7-0,N/A,17.0,24.0,255.0,4660482.0
75,Delon Wright,Toronto Raptors,PG,6-5,Utah,55.0,24.0,190.0,1509360.0
76,Leandro Barbosa,Golden State Warriors,SG,6-3,N/A,19.0,33.0,194.0,2500000.0
77,Harrison Barnes,Golden State Warriors,SF,6-8,North Carolina,40.0,24.0,225.0,3873398.0
78,Andrew Bogut,Golden State Warriors,C,7-0,Utah,12.0,31.0,260.0,13800000.0
79,Ian Clark,Golden State Warriors,SG,6-3,Belmont,21.0,25.0,175.0,947276.0
80,Stephen Curry,Golden State Warriors,PG,6-3,Davidson,30.0,28.0,190.0,11370786.0
81,Festus Ezeli,Golden State Warriors,C,6-11,Vanderbilt,31.0,26.0,265.0,2008748.0
82,Draymond Green,Golden State Warriors,PF,6-7,Michigan State,23.0,26.0,230.0,14260870.0
83,Andre Iguodala,Golden State Warriors,SF,6-6,Arizona,9.0,32.0,215.0,11710456.0
84,Shaun Livingston,Golden State Warriors,PG,6-7,N/A,34.0,30.0,192.0,5543725.0
85,Kevon Looney,Golden State Warriors,SF,6-9,UCLA,36.0,20.0,220.0,1131960.0
86,James Michael McAdoo,Golden State Warriors,SF,6-9,North Carolina,20.0,23.0,240.0,845059.0
87,Brandon Rush,Golden State Warriors,SF,6-6,Kansas,4.0,30.0,220.0,1270964.0
88,Marreese Speights,Golden State Warriors,C,6-10,Florida,5.0,28.0,255.0,3815000.0
89,Klay Thompson,Golden State Warriors,SG,6-7,Washington State,11.0,26.0,215.0,15501000.0
90,Anderson Varejao,Golden State Warriors,PF,6-11,N/A,18.0,33.0,273.0,289755.0
91,Cole Aldrich,Los Angeles Clippers,C,6-11,Kansas,45.0,27.0,250.0,1100602.0
92,Jeff Ayres,Los Angeles Clippers,PF,6-9,Arizona State,19.0,29.0,250.0,111444.0
93,Jamal Crawford,Los Angeles Clippers,SG,6-5,Michigan,11.0,36.0,195.0,5675000.0
94,Branden Dawson,Los Angeles Clippers,SF,6-6,Michigan State,22.0,23.0,225.0,525093.0
95,Jeff Green,Los Angeles Clippers,SF,6-9,Georgetown,8.0,29.0,235.0,9650000.0
96,Blake Griffin,Los Angeles Clippers,PF,6-10,Oklahoma,32.0,27.0,251.0,18907726.0
97,Wesley Johnson,Los Angeles Clippers,SF,6-7,Syracuse,33.0,28.0,215.0,1100602.0
98,DeAndre Jordan,Los Angeles Clippers,C,6-11,Texas A&M,6.0,27.0,265.0,19689000.0
99,Luc Richard Mbah a Moute,Los Angeles Clippers,PF,6-8,UCLA,12.0,29.0,230.0,947276.0
100,Chris Paul,Los Angeles Clippers,PG,6-0,Wake Forest,3.0,31.0,175.0,21468695.0
101,Paul Pierce,Los Angeles Clippers,SF,6-7,Kansas,34.0,38.0,235.0,3376000.0
102,Pablo Prigioni,Los Angeles Clippers,PG,6-3,N/A,9.0,39.0,185.0,947726.0
103,JJ Redick,Los Angeles Clippers,SG,6-4,Duke,4.0,31.0,190.0,7085000.0
104,Austin Rivers,Los Angeles Clippers,PG,6-4,Duke,25.0,23.0,200.0,3110796.0
105,C.J. Wilcox,Los Angeles Clippers,SG,6-5,Washington,30.0,25.0,195.0,1159680.0
106,Brandon Bass,Los Angeles Lakers,PF,6-8,LSU,2.0,31.0,250.0,3000000.0
107,Tarik Black,Los Angeles Lakers,C,6-9,Kansas,28.0,24.0,250.0,845059.0
108,Anthony Brown,Los Angeles Lakers,SF,6-7,Stanford,3.0,23.0,210.0,700000.0
109,Kobe Bryant,Los Angeles Lakers,SF,6-6,N/A,24.0,37.0,212.0,25000000.0
110,Jordan Clarkson,Los Angeles Lakers,PG,6-5,Missouri,6.0,24.0,194.0,845059.0
111,Roy Hibbert,Los Angeles Lakers,C,7-2,Georgetown,17.0,29.0,270.0,15592217.0
112,Marcelo Huertas,Los Angeles Lakers,PG,6-3,N/A,9.0,33.0,200.0,525093.0
113,Ryan Kelly,Los Angeles Lakers,PF,6-11,Duke,4.0,25.0,230.0,1724250.0
114,Larry Nance Jr.,Los Angeles Lakers,PF,6-9,Wyoming,7.0,23.0,230.0,1155600.0
115,Julius Randle,Los Angeles Lakers,PF,6-9,Kentucky,30.0,21.0,250.0,3132240.0
116,D'Angelo Russell,Los Angeles Lakers,PG,6-5,Ohio State,1.0,20.0,195.0,5103120.0
117,Robert Sacre,Los Angeles Lakers,C,7-0,Gonzaga,50.0,27.0,270.0,981348.0
118,Louis Williams,Los Angeles Lakers,SG,6-1,N/A,23.0,29.0,175.0,7000000.0
119,Metta World Peace,Los Angeles Lakers,SF,6-7,St. John's,37.0,36.0,260.0,947276.0
120,Nick Young,Los Angeles Lakers,SF,6-7,USC,0.0,31.0,210.0,5219169.0
121,Eric Bledsoe,Phoenix Suns,PG,6-1,Kentucky,2.0,26.0,190.0,13500000.0
122,Devin Booker,Phoenix Suns,SG,6-6,Kentucky,1.0,19.0,206.0,2127840.0
123,Chase Budinger,Phoenix Suns,SF,6-7,Arizona,10.0,28.0,209.0,206192.0
124,Tyson Chandler,Phoenix Suns,C,7-1,N/A,4.0,33.0,240.0,13000000.0
125,Archie Goodwin,Phoenix Suns,SG,6-5,Kentucky,20.0,21.0,200.0,1160160.0
126,John Jenkins,Phoenix Suns,SG,6-4,Vanderbilt,23.0,25.0,215.0,981348.0
127,Brandon Knight,Phoenix Suns,PG,6-3,Kentucky,3.0,24.0,189.0,13500000.0
128,Alex Len,Phoenix Suns,C,7-1,Maryland,21.0,22.0,260.0,3807120.0
129,Jon Leuer,Phoenix Suns,PF,6-10,Wisconsin,30.0,27.0,228.0,1035000.0
130,Phil Pressey,Phoenix Suns,PG,5-11,Missouri,25.0,25.0,175.0,55722.0
131,Ronnie Price,Phoenix Suns,PG,6-2,Utah Valley,14.0,32.0,190.0,947276.0
132,Mirza Teletovic,Phoenix Suns,PF,6-9,N/A,35.0,30.0,242.0,5500000.0
133,P.J. Tucker,Phoenix Suns,SF,6-6,Texas,17.0,31.0,245.0,5500000.0
134,T.J. Warren,Phoenix Suns,SF,6-8,North Carolina State,12.0,22.0,230.0,2041080.0
135,Alan Williams,Phoenix Suns,C,6-8,UC Santa Barbara,15.0,23.0,260.0,83397.0
136,Quincy Acy,Sacramento Kings,SF,6-7,Baylor,13.0,25.0,240.0,981348.0
137,James Anderson,Sacramento Kings,SG,6-6,Oklahoma State,5.0,27.0,213.0,1015421.0
138,Marco Belinelli,Sacramento Kings,SG,6-5,N/A,3.0,30.0,210.0,6060606.0
139,Caron Butler,Sacramento Kings,SF,6-7,Connecticut,31.0,36.0,228.0,1449187.0
140,Omri Casspi,Sacramento Kings,SF,6-9,N/A,18.0,27.0,225.0,2836186.0
141,Willie Cauley-Stein,Sacramento Kings,C,7-0,Kentucky,0.0,22.0,240.0,3398280.0
142,Darren Collison,Sacramento Kings,PG,6-0,UCLA,7.0,28.0,175.0,5013559.0
143,DeMarcus Cousins,Sacramento Kings,C,6-11,Kentucky,15.0,25.0,270.0,15851950.0
144,Seth Curry,Sacramento Kings,SG,6-2,Duke,30.0,25.0,185.0,947276.0
145,Duje Dukan,Sacramento Kings,PF,6-9,Wisconsin,26.0,24.0,220.0,525093.0
146,Rudy Gay,Sacramento Kings,SF,6-8,Connecticut,8.0,29.0,230.0,12403101.0
147,Kosta Koufos,Sacramento Kings,C,7-0,Ohio State,41.0,27.0,265.0,7700000.0
148,Ben McLemore,Sacramento Kings,SG,6-5,Kansas,23.0,23.0,195.0,3156600.0
149,Eric Moreland,Sacramento Kings,PF,6-10,Oregon State,25.0,24.0,238.0,845059.0
150,Rajon Rondo,Sacramento Kings,PG,6-1,Kentucky,9.0,30.0,186.0,9500000.0
151,Cameron Bairstow,Chicago Bulls,PF,6-9,New Mexico,41.0,25.0,250.0,845059.0
152,Aaron Brooks,Chicago Bulls,PG,6-0,Oregon,0.0,31.0,161.0,2250000.0
153,Jimmy Butler,Chicago Bulls,SG,6-7,Marquette,21.0,26.0,220.0,16407500.0
154,Mike Dunleavy,Chicago Bulls,SG,6-9,Duke,34.0,35.0,230.0,4500000.0
155,Cristiano Felicio,Chicago Bulls,PF,6-10,N/A,6.0,23.0,275.0,525093.0
156,Pau Gasol,Chicago Bulls,C,7-0,N/A,16.0,35.0,250.0,7448760.0
157,Taj Gibson,Chicago Bulls,PF,6-9,USC,22.0,30.0,225.0,8500000.0
158,Justin Holiday,Chicago Bulls,SG,6-6,Washington,7.0,27.0,185.0,947276.0
159,Doug McDermott,Chicago Bulls,SF,6-8,Creighton,3.0,24.0,225.0,2380440.0
160,Nikola Mirotic,Chicago Bulls,PF,6-10,N/A,44.0,25.0,220.0,5543725.0
161,E'Twaun Moore,Chicago Bulls,SG,6-4,Purdue,55.0,27.0,191.0,1015421.0
162,Joakim Noah,Chicago Bulls,C,6-11,Florida,13.0,31.0,232.0,13400000.0
163,Bobby Portis,Chicago Bulls,PF,6-11,Arkansas,5.0,21.0,230.0,1391160.0
164,Derrick Rose,Chicago Bulls,PG,6-3,Memphis,1.0,27.0,190.0,20093064.0
165,Tony Snell,Chicago Bulls,SF,6-7,New Mexico,20.0,24.0,200.0,1535880.0
166,Matthew Dellavedova,Cleveland Cavaliers,PG,6-4,Saint Mary's,8.0,25.0,198.0,1147276.0
167,Channing Frye,Cleveland Cavaliers,PF,6-11,Arizona,9.0,33.0,255.0,8193029.0
168,Kyrie Irving,Cleveland Cavaliers,PG,6-3,Duke,2.0,24.0,193.0,16407501.0
169,LeBron James,Cleveland Cavaliers,SF,6-8,N/A,23.0,31.0,250.0,22970500.0
170,Richard Jefferson,Cleveland Cavaliers,SF,6-7,Arizona,24.0,35.0,233.0,947276.0
171,Dahntay Jones,Cleveland Cavaliers,SG,6-6,Duke,30.0,35.0,225.0,0.0
172,James Jones,Cleveland Cavaliers,SG,6-8,Miami (FL),1.0,35.0,218.0,947276.0
173,Sasha Kaun,Cleveland Cavaliers,C,6-11,Kansas,14.0,31.0,260.0,1276000.0
174,Kevin Love,Cleveland Cavaliers,PF,6-10,UCLA,0.0,27.0,251.0,19689000.0
175,Jordan McRae,Cleveland Cavaliers,SG,6-5,Tennessee,12.0,25.0,179.0,111196.0
176,Timofey Mozgov,Cleveland Cavaliers,C,7-1,N/A,20.0,29.0,275.0,4950000.0
177,Iman Shumpert,Cleveland Cavaliers,SG,6-5,Georgia Tech,4.0,25.0,220.0,8988765.0
178,J.R. Smith,Cleveland Cavaliers,SG,6-6,N/A,5.0,30.0,225.0,5000000.0
179,Tristan Thompson,Cleveland Cavaliers,C,6-9,Texas,13.0,25.0,238.0,14260870.0
180,Mo Williams,Cleveland Cavaliers,PG,6-1,Alabama,52.0,33.0,198.0,2100000.0
181,Joel Anthony,Detroit Pistons,C,6-9,UNLV,50.0,33.0,245.0,2500000.0
182,Aron Baynes,Detroit Pistons,C,6-10,Washington State,12.0,29.0,260.0,6500000.0
183,Steve Blake,Detroit Pistons,PG,6-3,Maryland,22.0,36.0,172.0,2170465.0
184,Lorenzo Brown,Detroit Pistons,PG,6-5,North Carolina State,17.0,25.0,189.0,111444.0
185,Reggie Bullock,Detroit Pistons,SF,6-7,North Carolina,25.0,25.0,205.0,1252440.0
186,Kentavious Caldwell-Pope,Detroit Pistons,SG,6-5,Georgia,5.0,23.0,205.0,2891760.0
187,Spencer Dinwiddie,Detroit Pistons,PG,6-6,Colorado,8.0,23.0,200.0,845059.0
188,Andre Drummond,Detroit Pistons,C,6-11,Connecticut,0.0,22.0,279.0,3272091.0
189,Tobias Harris,Detroit Pistons,SF,6-9,Tennessee,34.0,23.0,235.0,16000000.0
190,Darrun Hilliard,Detroit Pistons,SF,6-6,Villanova,6.0,23.0,205.0,600000.0
191,Reggie Jackson,Detroit Pistons,PG,6-3,Boston College,1.0,26.0,208.0,13913044.0
192,Stanley Johnson,Detroit Pistons,SF,6-7,Arizona,3.0,20.0,245.0,2841960.0
193,Jodie Meeks,Detroit Pistons,SG,6-4,Kentucky,20.0,28.0,210.0,6270000.0
194,Marcus Morris,Detroit Pistons,PF,6-9,Kansas,13.0,26.0,235.0,5000000.0
195,Anthony Tolliver,Detroit Pistons,PF,6-8,Creighton,43.0,31.0,240.0,3000000.0
196,Lavoy Allen,Indiana Pacers,PF,6-9,Temple,5.0,27.0,255.0,4050000.0
197,Rakeem Christmas,Indiana Pacers,PF,6-9,Syracuse,25.0,24.0,250.0,1007026.0
198,Monta Ellis,Indiana Pacers,SG,6-3,N/A,11.0,30.0,185.0,10300000.0
199,Paul George,Indiana Pacers,SF,6-9,Fresno State,13.0,26.0,220.0,17120106.0
200,George Hill,Indiana Pacers,PG,6-3,IUPUI,3.0,30.0,188.0,8000000.0
201,Jordan Hill,Indiana Pacers,C,6-10,Arizona,27.0,28.0,235.0,4000000.0
202,Solomon Hill,Indiana Pacers,SF,6-7,Arizona,44.0,25.0,225.0,1358880.0
203,Ty Lawson,Indiana Pacers,PG,5-11,North Carolina,10.0,28.0,195.0,211744.0
204,Ian Mahinmi,Indiana Pacers,C,6-11,N/A,28.0,29.0,250.0,4000000.0
205,C.J. Miles,Indiana Pacers,SF,6-6,N/A,0.0,29.0,231.0,4394225.0
206,Glenn Robinson III,Indiana Pacers,SG,6-7,Michigan,40.0,22.0,222.0,1100000.0
207,Rodney Stuckey,Indiana Pacers,PG,6-5,Eastern Washington,2.0,30.0,205.0,7000000.0
208,Myles Turner,Indiana Pacers,PF,6-11,Texas,33.0,20.0,243.0,2357760.0
209,Shayne Whittington,Indiana Pacers,PF,6-11,Western Michigan,42.0,25.0,250.0,845059.0
210,Joe Young,Indiana Pacers,PG,6-2,Oregon,1.0,23.0,180.0,1007026.0
211,Giannis Antetokounmpo,Milwaukee Bucks,SF,6-11,N/A,34.0,21.0,222.0,1953960.0
212,Jerryd Bayless,Milwaukee Bucks,PG,6-3,Arizona,19.0,27.0,200.0,3000000.0
213,Michael Carter-Williams,Milwaukee Bucks,PG,6-6,Syracuse,5.0,24.0,190.0,2399040.0
214,Jared Cunningham,Milwaukee Bucks,SG,6-4,Oregon State,9.0,25.0,195.0,947276.0
215,Tyler Ennis,Milwaukee Bucks,PG,6-3,Syracuse,11.0,21.0,194.0,1662360.0
216,John Henson,Milwaukee Bucks,PF,6-11,North Carolina,31.0,25.0,229.0,2943221.0
217,Damien Inglis,Milwaukee Bucks,SF,6-8,N/A,17.0,21.0,246.0,855000.0
218,O.J. Mayo,Milwaukee Bucks,SG,6-5,USC,3.0,28.0,210.0,8000000.0
219,Khris Middleton,Milwaukee Bucks,SG,6-8,Texas A&M,22.0,24.0,234.0,14700000.0
220,Greg Monroe,Milwaukee Bucks,C,6-11,Georgetown,15.0,26.0,265.0,16407500.0
221,Steve Novak,Milwaukee Bucks,SF,6-10,Marquette,6.0,32.0,225.0,295327.0
222,Johnny O'Bryant III,Milwaukee Bucks,PF,6-9,LSU,77.0,23.0,257.0,845059.0
223,Jabari Parker,Milwaukee Bucks,PF,6-8,Duke,12.0,21.0,250.0,5152440.0
224,Miles Plumlee,Milwaukee Bucks,C,6-11,Duke,18.0,27.0,249.0,2109294.0
225,Greivis Vasquez,Milwaukee Bucks,PG,6-6,Maryland,21.0,29.0,217.0,6600000.0
226,Rashad Vaughn,Milwaukee Bucks,SG,6-6,UNLV,20.0,19.0,202.0,1733040.0
227,Justin Anderson,Dallas Mavericks,SG,6-6,Virginia,1.0,22.0,228.0,1449000.0
228,J.J. Barea,Dallas Mavericks,PG,6-0,Northeastern,5.0,31.0,185.0,4290000.0
